Gene	Hit	RecipricalMatch
CCaMK	XP_007010660.1	True
CCD	XP_007012114.2	True
CCD8	XP_007012130.2	True
NUP85	XP_007012136.2	True
KinF	XP_007012391.2	True
EPP1	XP_007018477.2	True
NSP2	XP_007019002.2	True
pp2a	XP_007020261.2	True
HYP4	XP_007025394.2	True
MCA8	XP_007027146.2	True
GRAS	XP_007027449.2	False
SEC	XP_007029893.1	False
VAPYRIN	XP_007030022.2	True
KinG1	XP_007031426.2	True
STR1	XP_007036886.2	True
HYP3	XP_007037768.2	True
RAD1	XP_007037896.2	True
RFCb	XP_007040828.2	True
DMI1	XP_007041243.2	True
DnaJ	XP_007043015.2	False
ABCB20	XP_007043163.2	True
EXO70	XP_007044118.2	True
TAU	XP_007046337.2	True
DHY	XP_007047603.1	True
STR2	XP_007047704.2	True
NUP133	XP_007049309.2	True
FatM	XP_007050241.2	True
NFP	XP_017969727.1	True
CYTB561	XP_017970671.1	True
RAM2	XP_017970681.1	True
SYN	XP_017971112.1	True
NENA	XP_017972199.1	True
CYCLOPS	XP_017972647.1	True
HEP	XP_017973536.1	False
PT4	XP_017974062.1	True
RAM1	XP_017974451.1	True
CASTOR	XP_017975303.1	True
D27	XP_017976004.1	True
CCD7	XP_017976425.1	True
KinG2	XP_017976553.1	True
LIN	XP_017976783.1	True
ABCB12	XP_017978526.1	True
RFCa	XP_017979494.1	True
SymRK	XP_017981919.1	True
