Gene	Hit	RecipricalMatch
SYN	JAAVKS010000011.1	False
SEC	JAAVKS010000036.1	False
RAM1	JAAVKS010000044.1	False
DnaJ	JAAVKS010000067.1	False
ABCB20	JAAVKS010000082.1	False
GRAS	JAAVKS010000130.1	False
RAM2	JAAVKS010000139.1	False
CYTB561	JAAVKS010000146.1	False
FatM	JAAVKS010000158.1	False
SymRK	JAAVKS010000184.1	False
KinG2	JAAVKS010000251.1	False
TAU	JAAVKS010000287.1	False
LIN	JAAVKS010000289.1	False
HEP	JAAVKS010000425.1	False
NSP2	JAAVKS010000453.1	False
NUP133	JAAVKS010000631.1	True
CCD8	JAAVKS010000746.1	False
VAPYRIN	JAAVKS010000750.1	False
DHY	JAAVKS010000813.1	False
CCaMK	JAAVKS010000819.1	False
EPP1	JAAVKS010000831.1	False
NFP	JAAVKS010000887.1	False
PT4	JAAVKS010001744.1	False
pp2a	JAAVKS010001799.1	False
EXO70	JAAVKS010002091.1	False
NUP85	JAAVKS010002123.1	True
MCA8	JAAVKS010002787.1	True
NENA	JAAVKS010002828.1	True
STR2	JAAVKS010003353.1	False
HYP4	JAAVKS010003446.1	False
KinF	JAAVKS010003828.1	False
