Gene	Hit	RecipricalMatch
SEC	CM040117.1	False
LIN	CM040118.1	True
GRAS	CM040119.1	False
STR1	CM040120.1	True
SYN	CM040121.1	False
pp2a	CM040122.1	True
ABCB20	CM040123.1	False
TAU	CM040124.1	False
PT4	CM040125.1	True
VAPYRIN	CM040126.1	True
FatM	CM040127.1	True
RAM1	CM040128.1	True
STR2	CM040129.1	True
MCA8	JAHNEJ010002635.1	True
RAM2	JAHNEJ010000797.1	True
CCD	JAHNEJ010001775.1	False
SymRK	JAHNEJ010002718.1	False
EPP1	JAHNEJ010001196.1	True
NUP133	JAHNEJ010002293.1	True
CCaMK	JAHNEJ010001320.1	True
KinF	JAHNEJ010003456.1	True
