Gene	Hit	RecipricalMatch
PT4	NP_001105776.1	True
SymRK	NP_001105860.1	True
CCaMK	NP_001105906.1	True
STR1	NP_001130330.2	True
NENA	NP_001150647.1	True
DnaJ	NP_001151671.1	False
SYN	NP_001152009.1	False
HEP	NP_001168008.1	True
NUP85	NP_001168171.1	True
FatM	NP_001168484.1	False
CCD7	NP_001183928.2	True
CCD8	NP_001183929.1	True
ABCB20	NP_001309742.1	False
pp2a	NP_001334035.1	True
NUP133	NP_001349400.1	True
MCA8	NP_001349751.1	True
CASTOR	XP_008644339.1	True
VAPYRIN	XP_008644638.1	True
NFP	XP_008652982.1	True
NSP2	XP_008653941.1	True
RFCb	XP_008658588.1	True
EXO70	XP_008663720.1	True
RAM2	XP_008665368.1	True
ABCB12	XP_008669709.2	True
KinG2	XP_008669958.1	True
KinF	XP_008670225.1	True
D27	XP_008670838.1	True
SEC	XP_008672585.1	False
DHY	XP_008674131.1	True
DMI1	XP_008674775.1	True
HYP4	XP_008675271.1	True
RAD1	XP_008676175.2	True
STR2	XP_008676307.2	True
TAU	XP_008678543.1	True
CYTB561	XP_008679491.1	False
GRAS	XP_008680135.1	False
RAM1	XP_008680172.1	True
CCD	XP_020396187.1	True
HYP3	XP_020399031.1	True
KinG1	XP_020403863.2	True
LIN	XP_020406810.2	False
CYCLOPS	XP_035818249.1	True
EPP1	XP_035820099.1	True
RFCa	XP_035823271.1	True
