Gene	Hit	RecipricalMatch
CCD	PKA45714.1	True
KinF	PKA47770.1	False
MCA8	PKA48524.1	True
D27	PKA48816.1	True
SYN	PKA50907.1	False
CCaMK	PKA51190.1	True
FatM	PKA51827.1	False
CYTB561	PKA52203.1	True
SymRK	PKA52521.1	False
RAD1	PKA53513.1	False
pp2a	PKA56611.1	False
HYP3	PKA56692.1	True
CCD8	PKA56921.1	True
NUP133	PKA57063.1	True
NUP85	PKA57242.1	True
DHY	PKA58085.1	False
PT4	PKA58785.1	False
HYP4	PKA58943.1	False
NSP2	PKA59517.1	True
NFP	PKA60161.1	False
DMI1	PKA60201.1	False
CYCLOPS	PKA61134.1	True
DnaJ	PKA61249.1	False
RAM2	PKA61394.1	True
SEC	PKA61838.1	False
STR2	PKA61869.1	False
HEP	PKA62053.1	False
GRAS	PKA62395.1	False
KinG1	PKA63100.1	True
EXO70	PKA63436.1	False
CCD7	PKA64156.1	True
TAU	PKA64484.1	False
RAM1	PKA64545.1	False
RFCb	PKA65565.1	False
EPP1	PKA65640.1	True
VAPYRIN	PKA66067.1	True
LIN	PKA66456.1	True
ABCB20	PKA66622.1	False
NENA	PKA66684.1	True
