Gene	Hit	RecipricalMatch
HEP	CAA6653456.1	False
CCD	CAA6653637.1	False
CCaMK	CAA6653747.1	False
LIN	CAA6654300.1	False
GRAS	CAA6654367.1	False
KinG2	CAA6654543.1	False
RAM1	CAA6654549.1	False
VAPYRIN	CAA6654713.1	True
SymRK	CAA6654811.1	False
RAM2	CAA6655122.1	False
CYTB561	CAA6655626.1	False
KinF	CAA6656037.1	False
CCD7	CAA6656165.1	True
STR2	CAA6656853.1	False
D27	CAA6658608.1	True
ABCB20	CAA6658776.1	False
DMI1	CAA6658978.1	False
SYN	CAA6659719.1	False
DHY	CAA6660305.1	False
HYP4	CAA6661369.1	False
PT4	CAA6662617.1	False
RFCb	CAA6662808.1	False
SEC	CAA6663002.1	False
pp2a	CAA6664169.1	False
KinG1	CAA6665678.1	False
NENA	CAA6665875.1	True
CCD8	CAA6666032.1	True
EXO70	CAA6666322.1	False
RAD1	CAA6666330.1	False
NUP133	CAA6667343.1	True
NFP	CAA6667472.1	False
DnaJ	CAA6667916.1	False
MCA8	CAA6669349.1	True
EPP1	CAA6671126.1	False
NUP85	CAA6671628.1	True
TAU	CAA6671632.1	False
