Gene	Hit	RecipricalMatch
SEC	XP_004953944.1	False
SymRK	XP_004958064.1	True
DnaJ	XP_004959407.1	False
DHY	XP_004963305.1	True
CYCLOPS	XP_004964358.1	True
NENA	XP_004969190.1	True
HYP4	XP_004969336.1	True
PT4	XP_004969360.1	True
NUP85	XP_004969928.1	True
DMI1	XP_004970724.1	True
RAD1	XP_004970957.1	True
STR2	XP_004972127.1	True
ABCB20	XP_004972835.1	True
TAU	XP_004974652.1	True
EPP1	XP_004974859.1	True
CCD7	XP_004976437.1	True
FatM	XP_004978490.1	False
KinG2	XP_004979223.1	True
HEP	XP_004979286.1	True
D27	XP_004979587.1	True
GRAS	XP_004980311.1	False
RAM1	XP_004980521.1	True
CASTOR	XP_004981080.1	True
RAM2	XP_004981856.1	True
VAPYRIN	XP_004982269.1	True
CYTB561	XP_004983432.2	True
MCA8	XP_004984780.1	True
NUP133	XP_004985145.1	True
SYN	XP_012699356.1	True
CCD8	XP_012701670.1	True
NFP	XP_022679286.1	True
NSP2	XP_022679288.1	True
CCD	XP_022679728.1	True
pp2a	XP_022679758.1	True
KinF	XP_022680339.1	True
CCaMK	XP_022680811.1	True
RFCa	XP_022682135.1	True
HYP3	XP_022682482.1	True
LIN	XP_022682940.1	False
EXO70	XP_022682975.1	True
STR1	XP_022683387.1	True
ABCB12	XP_022683930.1	True
KinG1	XP_022684258.1	True
RFCb	XP_022685476.1	True
