Gene	Hit	RecipricalMatch
PT4	WUBK01002727.1	True
CCD7	WUBK01006296.1	True
RAD1	WUBK01007608.1	True
pp2a	WUBK01029620.1	True
SYN	WUBK01031806.1	False
KinF	WUBK01089228.1	True
DHY	WUBK01089350.1	True
ABCB20	WUBK01090481.1	False
RAM2	WUBK01093112.1	False
RAM1	WUBK01093125.1	True
HEP	WUBK01097277.1	False
NUP85	WUBK01098579.1	True
HYP3	WUBK01104107.1	True
FatM	WUBK01105009.1	False
CCD	WUBK01127893.1	False
NFP	WUBK01133429.1	True
NUP133	WUBK01133590.1	True
TAU	WUBK01134577.1	True
KinG2	WUBK01134618.1	False
DMI1	WUBK01134619.1	True
RFCa	WUBK01134621.1	True
CASTOR	WUBK01134630.1	True
CCaMK	WUBK01134634.1	False
SEC	WUBK01134639.1	False
CCD8	WUBK01134641.1	True
STR1	WUBK01134645.1	True
LIN	WUBK01134647.1	True
MCA8	WUBK01134758.1	True
NENA	WUBK01134852.1	True
EPP1	WUBK01135171.1	True
VAPYRIN	WUBK01135285.1	True
RFCb	WUBK01135777.1	True
EXO70	WUBK01135797.1	True
HYP4	WUBK01136077.1	True
CYTB561	WUBK01136323.1	True
NSP2	WUBK01136498.1	True
SymRK	WUBK01136573.1	False
DnaJ	WUBK01136814.1	False
STR2	WUBK01137603.1	True
GRAS	WUBK01139631.1	False
