Gene	Hit	RecipricalMatch
NUP133	JAAVKT010000010.1	True
CCaMK	JAAVKT010000106.1	False
RAM1	JAAVKT010000012.1	False
KinF	JAAVKT010000013.1	False
NENA	JAAVKT010001303.1	True
SEC	JAAVKT010000014.1	False
NSP2	JAAVKT010000144.1	False
HYP4	JAAVKT010001488.1	False
STR2	JAAVKT010001529.1	False
RAD1	JAAVKT010000205.1	False
CCD7	JAAVKT010000021.1	False
GRAS	JAAVKT010000214.1	False
RAM2	JAAVKT010000232.1	False
SYN	JAAVKT010000238.1	False
EPP1	JAAVKT010000239.1	False
LIN	JAAVKT010000026.1	False
MCA8	JAAVKT010000288.1	True
VAPYRIN	JAAVKT010000035.1	False
EXO70	JAAVKT010000041.1	False
SymRK	JAAVKT010000042.1	False
ABCB20	JAAVKT010000046.1	False
TAU	JAAVKT010000062.1	False
DHY	JAAVKT010000645.1	False
NFP	JAAVKT010000720.1	False
CCD8	JAAVKT010000077.1	False
PT4	JAAVKT010000775.1	False
DnaJ	JAAVKT010000083.1	False
pp2a	JAAVKT010000097.1	False
KinG2	JAAVKT010000098.1	False
