Gene	Hit	RecipricalMatch
LIN	XP_009380565.1	False
RFCb	XP_009381948.1	True
FatM	XP_009384356.1	False
CCD7	XP_009384463.1	True
NENA	XP_009386286.1	True
HYP2	XP_009386941.1	True
NUP85	XP_009387644.1	True
EPP1	XP_009387940.2	True
RFCa	XP_009388132.1	True
ABCB12	XP_009389871.1	True
HYP4	XP_009389984.1	True
pp2a	XP_009391020.1	True
HEP	XP_009392495.1	False
MCA8	XP_009392704.1	True
PT4	XP_009393090.2	True
STR2	XP_009397787.1	True
CYTB561	XP_009397940.1	False
DHY	XP_009399084.1	True
RAM2	XP_009400854.1	True
CCaMK	XP_009401603.1	True
D27	XP_009402431.1	True
GRAS	XP_009403663.1	False
RAM1	XP_009405522.1	True
CCD8	XP_009407022.1	False
NUP133	XP_009407382.1	True
SYN	XP_009409839.1	False
DMI1	XP_009410664.1	True
CASTOR	XP_009410740.1	True
NFP	XP_009412300.1	True
RAD1	XP_009412995.1	True
VAPYRIN	XP_009413875.1	True
KinG1	XP_009414340.2	True
SymRK	XP_009416852.1	True
TAU	XP_009418433.1	True
NSP2	XP_009419162.1	False
EXO70	XP_009419293.1	False
STR1	XP_009419454.2	True
KinF	XP_009419455.2	True
ABCB20	XP_018674689.1	True
DnaJ	XP_018674728.1	False
CCD	XP_018677757.1	True
CYCLOPS	XP_018678913.1	True
HYP3	XP_018680539.1	True
SEC	XP_018686596.1	False
