Gene	Hit	RecipricalMatch
CCD	XP_015611401.1	True
KinF	XP_015611619.1	False
STR1	XP_015612618.1	True
DMI1	XP_015613349.1	True
RFCb	XP_015613745.1	True
D27	XP_015615253.1	True
FatM	XP_015615402.1	False
HYP4	XP_015615558.1	True
HEP	XP_015615879.1	True
GRAS	XP_015616552.1	False
RAM1	XP_015616711.1	True
KinG2	XP_015617897.1	True
DHY	XP_015618706.1	True
LIN	XP_015621713.1	False
NENA	XP_015621834.1	True
NUP85	XP_015621953.1	True
CYTB561	XP_015623020.1	False
RFCa	XP_015625128.1	True
SEC	XP_015627595.1	False
VAPYRIN	XP_015629303.1	True
CASTOR	XP_015629685.1	True
NFP	XP_015629774.1	True
NSP2	XP_015630025.1	False
RAM2	XP_015630183.1	True
MCA8	XP_015630458.1	True
NUP133	XP_015632056.1	True
pp2a	XP_015632262.1	False
PT4	XP_015633355.1	True
KinG1	XP_015633988.1	True
ABCB20	XP_015636531.1	False
CCD7	XP_015637185.1	True
CCaMK	XP_015638740.1	True
CYCLOPS	XP_015642073.1	True
CCD8	XP_015642760.1	True
STR2	XP_015644955.1	True
EXO70	XP_015646153.1	True
RAD1	XP_015646199.1	True
SymRK	XP_015646949.1	True
SYN	XP_015647004.1	False
TAU	XP_015649634.1	True
HYP3	XP_025878206.1	True
ABCB12	XP_025879974.1	True
EPP1	XP_025883264.1	True
