Gene	Hit	RecipricalMatch
STR1	XP_020672453.1	False
NUP85	XP_020675181.1	True
CCaMK	XP_020676625.1	True
SymRK	XP_020677592.1	True
pp2a	XP_020677633.1	False
EPP1	XP_020678883.2	True
VAPYRIN	XP_020680598.1	True
NSP2	XP_020680996.1	False
RFCb	XP_020682194.1	False
SYN	XP_020684108.1	False
HEP	XP_020684827.1	False
KinF	XP_020685351.1	False
CYTB561	XP_020685970.1	False
CCD7	XP_020685991.1	True
HYP3	XP_020686572.1	True
RAM2	XP_020687415.1	True
HYP4	XP_020688908.1	True
LIN	XP_020689090.1	True
DMI1	XP_020689155.1	True
DnaJ	XP_020690918.1	False
EXO70	XP_020691792.1	False
SEC	XP_020692936.1	False
RAD1	XP_020694342.1	False
PT4	XP_020694551.1	False
FatM	XP_020695561.2	False
MCA8	XP_020696398.1	True
ABCB20	XP_020696622.1	False
GRAS	XP_020697300.1	False
DHY	XP_020697436.1	False
STR2	XP_020698630.1	False
CASTOR	XP_020699559.1	True
TAU	XP_020699806.1	True
RAM1	XP_020699823.1	False
NUP133	XP_020700510.1	True
NFP	XP_020701085.1	False
NENA	XP_020701602.1	True
KinG1	XP_020703063.1	True
CYCLOPS	XP_020703676.1	True
CCD8	XP_028550850.1	True
CCD	XP_028552230.1	True
D27	XP_028554502.1	True
