Gene	Hit	RecipricalMatch
SYN	JAAVWL010000001.1	False
VAPYRIN	JAAVWL010000098.1	False
HEP	JAAVWL010000104.1	False
PT4	JAAVWL010000110.1	False
EPP1	JAAVWL010000121.1	False
RAM1	JAAVWL010000127.1	False
NUP133	JAAVWL010000131.1	True
KinG1	JAAVWL010000141.1	False
RAM2	JAAVWL010000181.1	True
SymRK	JAAVWL010000002.1	False
pp2a	JAAVWL010000191.1	False
HYP4	JAAVWL010000203.1	False
KinF	JAAVWL010000204.1	False
DnaJ	JAAVWL010000205.1	False
SEC	JAAVWL010000026.1	False
EXO70	JAAVWL010000033.1	False
DHY	JAAVWL010000005.1	False
RAD1	JAAVWL010000076.1	False
NSP2	JAAVWL010000086.1	False
CYTB561	JAAVWL010000090.1	False
TAU	JAAVWL010000093.1	False
