Gene	Hit	RecipricalMatch
CCaMK	XP_007133531.1	True
ABCB12	XP_007135399.1	True
ABCB20	XP_007136381.1	True
KinF	XP_007136875.1	True
CCD	XP_007137216.1	True
CCD8	XP_007137221.1	True
RFCb	XP_007137328.1	True
NSP2	XP_007137382.1	True
HEP	XP_007137910.1	True
CASTOR	XP_007139078.1	True
CCD7	XP_007140782.1	True
NUP133	XP_007142490.1	True
pp2a	XP_007142797.1	True
EXO70	XP_007142986.1	True
LIN	XP_007144197.1	True
GRAS	XP_007144374.1	False
FatM	XP_007144875.1	True
RAM2	XP_007145372.1	True
HYP2	XP_007146885.1	True
KinG2	XP_007147248.1	True
DnaJ	XP_007148428.1	False
DMI1	XP_007148558.1	True
HYP4	XP_007149744.1	True
SYN	XP_007149964.1	True
PT4	XP_007150936.1	True
VAPYRIN	XP_007151492.1	True
CYTB561	XP_007153192.1	True
TAU	XP_007153325.1	True
KinG1	XP_007153637.1	True
HYP3	XP_007155489.1	True
RAD1	XP_007155519.1	True
DHY	XP_007155800.1	True
NFP	XP_007156886.1	True
RFCa	XP_007156972.1	True
CYCLOPS	XP_007158151.1	True
STR2	XP_007158327.1	True
SymRK	XP_007158329.1	True
NENA	XP_007158567.1	True
STR1	XP_007160552.1	True
EPP1	XP_007160922.1	True
NUP85	XP_007161496.1	True
RAM1	XP_007161687.1	True
SEC	XP_007161834.1	True
D27	XP_007162478.1	True
MCA8	XP_007162693.1	True
