Gene	Hit	RecipricalMatch
SEC	JANBPO010000001.1	False
KinG2	JANBPO010000002.1	False
CYCLOPS	JANBPO010000023.1	True
CASTOR	JANBPO010000027.1	True
STR2	JANBPO010000038.1	True
LIN	JANBPO010000095.1	True
SymRK	JANBPO010000132.1	False
KinF	JANBPO010000172.1	True
STR1	JANBPO010000178.1	True
SYN	JANBPO010000186.1	False
NSP2	JANBPO010000192.1	True
RFCa	JANBPO010000195.1	True
TAU	JANBPO010000719.1	False
CCD	JANBPO010001608.1	False
HEP	JANBPO010002302.1	False
MCA8	JANBPO010002596.1	True
CCD7	JANBPO010003090.1	True
RAM1	JANBPO010003772.1	True
DHY	JANBPO010004115.1	True
RAM2	JANBPO010004290.1	True
RFCb	JANBPO010004458.1	True
DnaJ	JANBPO010006089.1	False
pp2a	JANBPO010008511.1	True
NUP85	JANBPO010008574.1	True
FatM	JANBPO010009547.1	True
VAPYRIN	JANBPO010009603.1	True
