Gene	Hit	RecipricalMatch
D27	MQL68864.1	False
SYN	MQL72785.1	False
SymRK	MQL73865.1	True
VAPYRIN	MQL74593.1	True
TAU	MQL75383.1	False
CYCLOPS	MQL75680.1	True
PT4	MQL75844.1	True
CASTOR	MQL76194.1	True
LIN	MQL76382.1	True
KinG2	MQL81234.1	True
EPP1	MQL82770.1	True
STR2	MQL83893.1	True
ABCB20	MQL85301.1	False
HEP	MQL87678.1	False
DMI1	MQL87982.1	True
KinG1	MQL89525.1	False
NSP2	MQL90150.1	True
GRAS	MQL90408.1	False
MCA8	MQL91349.1	True
RAD1	MQL93360.1	True
NUP133	MQL94788.1	True
CCaMK	MQL98399.1	True
CYTB561	MQL98446.1	False
DnaJ	MQL99715.1	False
DHY	MQM00281.1	True
CCD	MQM01518.1	False
SEC	MQM01982.1	False
NUP85	MQM02478.1	True
HYP2	MQM05696.1	True
RAM2	MQM05970.1	True
HYP4	MQM09483.1	True
EXO70	MQM09827.1	True
FatM	MQM10146.1	False
CCD8	MQM11929.1	True
NENA	MQM12078.1	True
CCD7	MQM13634.1	True
NFP	MQM13774.1	True
RAM1	MQM16194.1	True
pp2a	MQM16397.1	True
ABCB12	MQM16666.1	True
KinF	MQM17760.1	True
RFCb	MQM21466.1	False
