Gene	Hit	RecipricalMatch
NUP133	NP_001189511.1	True
LIN	NP_001189833.1	False
CCD7	NP_001324720.1	True
KinF	NP_001328294.1	False
MCA8	NP_172246.3	True
EXO70	NP_172327.1	False
KinG2	NP_173076.1	False
SEC	NP_173637.3	False
RAM1	NP_176809.1	False
HEP	NP_179933.2	False
RAM2	NP_181346.1	False
CCaMK	NP_187677.1	False
TAU	NP_188773.1	False
pp2a	NP_189231.1	False
ABCB20	NP_189528.1	False
FatM	NP_190990.1	False
STR2	NP_191073.1	False
KinG1	NP_191470.1	False
CCD	NP_191911.1	False
NSP2	NP_192565.1	True
DnaJ	NP_193119.1	False
HYP4	NP_194144.1	False
EPP1	NP_194882.2	False
CCD8	NP_195007.2	True
DHY	NP_196567.2	False
VAPYRIN	NP_196857.2	False
RFCb	NP_198126.1	False
PT4	NP_199150.1	False
DMI1	NP_199807.1	True
D27	NP_563673.1	True
NENA	NP_564830.1	True
SymRK	NP_564904.1	False
NFP	NP_566689.2	False
CYTB561	NP_567723.1	False
NUP85	NP_567908.1	True
SYN	NP_568187.1	False
GRAS	NP_568500.1	False
