Gene	Hit	RecipricalMatch
FatM	XP_020080056.1	True
pp2a	XP_020083060.1	False
EPP1	XP_020083111.1	True
CCD7	XP_020084493.1	True
RAM2	XP_020085136.1	True
MCA8	XP_020086092.1	True
SymRK	XP_020086600.1	True
PT4	XP_020086716.1	True
RAD1	XP_020088562.1	True
NFP	XP_020090327.1	True
DnaJ	XP_020091150.1	False
DHY	XP_020092903.1	True
RFCb	XP_020094281.1	True
VAPYRIN	XP_020095957.1	True
DMI1	XP_020096726.1	False
SYN	XP_020096728.1	False
RFCa	XP_020097378.1	True
LIN	XP_020097769.1	False
CCD	XP_020098001.1	True
EXO70	XP_020098258.1	True
HYP4	XP_020098727.1	True
TAU	XP_020099039.1	True
D27	XP_020101063.1	True
CCaMK	XP_020102239.1	True
CYTB561	XP_020102432.1	False
NUP133	XP_020102961.1	True
ABCB12	XP_020104736.1	True
NSP2	XP_020105047.1	True
CCD8	XP_020105594.1	True
NUP85	XP_020106101.1	True
NENA	XP_020106327.1	True
KinG2	XP_020106367.1	True
RAM1	XP_020107007.1	True
GRAS	XP_020107184.1	False
HEP	XP_020107408.1	False
SEC	XP_020107977.1	False
KinG1	XP_020110442.1	True
CYCLOPS	XP_020112466.1	True
ABCB20	XP_020114503.1	True
STR2	XP_020115238.1	True
KinF	XP_020115320.1	False
