Gene	Hit	RecipricalMatch
KinG1	XP_020571178.1	True
ABCB12	XP_020571569.1	False
DnaJ	XP_020571855.1	False
HEP	XP_020571941.1	False
NUP85	XP_020575377.1	True
DHY	XP_020575875.1	False
ABCB20	XP_020577107.1	False
SymRK	XP_020578401.1	True
KinF	XP_020579256.1	False
VAPYRIN	XP_020579830.1	True
SYN	XP_020579860.1	False
RAD1	XP_020581956.1	False
CYCLOPS	XP_020582052.1	True
EXO70	XP_020582393.1	False
SEC	XP_020583037.1	False
STR2	XP_020583101.1	False
LIN	XP_020584069.1	True
CCaMK	XP_020584796.1	True
HYP3	XP_020585887.1	True
RFCb	XP_020587014.1	False
CCD7	XP_020587311.1	True
CASTOR	XP_020587717.1	True
HYP4	XP_020587784.1	False
CCD8	XP_020589299.1	True
pp2a	XP_020590086.1	False
D27	XP_020590459.1	False
RAM2	XP_020590844.1	True
NSP2	XP_020591333.1	True
CCD	XP_020591457.1	True
PT4	XP_020593718.1	False
TAU	XP_020593931.1	False
RAM1	XP_020594013.1	False
NENA	XP_020595847.1	True
NUP133	XP_020596817.1	True
GRAS	XP_020598237.1	False
DMI1	XP_020598311.1	True
MCA8	XP_020598375.1	True
FatM	XP_020598478.1	False
CYTB561	XP_020599116.1	False
EPP1	XP_020599667.1	True
NFP	XP_020600105.1	False
