Gene	Hit	RecipricalMatch
CASTOR	XP_044945899.1	True
CCD	XP_044946405.1	True
STR1	XP_044947561.1	True
KinF	XP_044947564.1	True
DnaJ	XP_044948007.1	False
FatM	XP_044948410.1	False
TAU	XP_044948580.1	True
pp2a	XP_044950573.1	True
RFCa	XP_044950777.1	True
ABCB20	XP_044951747.1	True
KinG2	XP_044954409.1	True
CYCLOPS	XP_044958301.1	True
CYTB561	XP_044958901.1	False
D27	XP_044959150.1	True
EPP1	XP_044961715.1	True
SymRK	XP_044965289.1	True
KinG1	XP_044966808.1	True
CCD7	XP_044967582.1	True
EXO70	XP_044968944.1	True
RAM1	XP_044969386.1	True
SYN	XP_044969824.1	True
RFCb	XP_044971547.1	True
HEP	XP_044972224.1	True
LIN	XP_044972304.1	False
HYP4	XP_044972575.1	True
STR2	XP_044972658.1	True
CCD8	XP_044972758.1	True
RAD1	XP_044973094.1	True
DMI1	XP_044974072.1	True
HYP3	XP_044974108.1	True
SEC	XP_044975767.1	False
NENA	XP_044976386.1	True
CCaMK	XP_044976886.1	True
NUP85	XP_044977019.1	True
NSP2	XP_044979165.1	True
NFP	XP_044979240.1	True
ABCB12	XP_044979620.1	True
MCA8	XP_044981970.1	True
NUP133	XP_044982342.1	True
GRAS	XP_044983539.1	False
PT4	XP_044983919.1	True
VAPYRIN	XP_044983921.1	True
RAM2	XP_044984050.1	True
DHY	XP_044985573.1	True
