Gene	Hit	RecipricalMatch
pp2a	CAA7388096.1	False
LIN	CAA7388835.1	False
GRAS	CAA7388936.1	False
KinG2	CAA7389156.1	False
RAM1	CAA7389169.1	False
VAPYRIN	CAA7389387.1	False
SymRK	CAA7389483.1	False
MCA8	CAA7389554.1	True
RAM2	CAA7389875.1	False
CYTB561	CAA7390942.1	False
KinF	CAA7391469.1	False
CCD7	CAA7391627.1	True
STR2	CAA7392800.1	False
RAD1	CAA7393321.1	False
CCaMK	CAA7394715.1	False
D27	CAA7394883.1	True
ABCB20	CAA7395061.1	False
CASTOR	CAA7395270.1	False
DMI1	CAA7395271.1	False
CCD	CAA7395559.1	False
SYN	CAA7396052.1	False
HYP4	CAA7397731.1	False
SEC	CAA7398300.1	False
PT4	CAA7399024.1	False
RFCb	CAA7399221.1	False
HEP	CAA7399510.1	False
DHY	CAA7401744.1	False
KinG1	CAA7402401.1	False
NENA	CAA7402640.1	True
CCD8	CAA7402796.1	True
EXO70	CAA7403100.1	False
NUP133	CAA7404173.1	True
NFP	CAA7404304.1	False
DnaJ	CAA7405042.1	False
EPP1	CAA7407403.1	False
NUP85	CAA7408731.1	True
TAU	CAA7408735.1	False
