Gene	Hit	RecipricalMatch
SYN	GJFM02506477.1	False
MCA8	GJFM02522228.1	True
GRAS	GJFM02559077.1	False
pp2a	GJFM02598879.1	False
TAU	GJFM02655044.1	False
NUP85	GJFM02843522.1	True
LIN	GJFM02850659.1	False
NENA	GJFM02868754.1	True
KinG1	GJFM02869182.1	False
VAPYRIN	GJFM02869213.1	False
EPP1	GJFM02869330.1	False
KinG2	GJFM02869496.1	False
DMI1	GJFM02869842.1	True
ABCB20	GJFM02869910.1	False
FatM	GJFM02869911.1	False
RAM1	GJFM02869945.1	False
SymRK	GJFM02870255.1	False
STR2	GJFM02870383.1	False
NFP	GJFM02870518.1	False
CCaMK	GJFM02871015.1	False
PT4	GJFM02871270.1	False
SEC	GJFM02871312.1	False
D27	GJFM02871788.1	True
KinF	GJFM02872056.1	False
RAM2	GJFM02872912.1	False
DHY	GJFM02873293.1	False
CYTB561	GJFM02873338.1	False
