Gene	Hit	RecipricalMatch
CYCLOPS	XP_002436373.1	True
DHY	XP_002443650.2	True
STR1	XP_002445326.2	True
TAU	XP_002445444.1	True
CCD7	XP_002446902.1	True
KinG1	XP_002447988.1	True
HEP	XP_002449501.1	True
RAM1	XP_002450783.1	True
NUP85	XP_002456346.1	True
RAD1	XP_002456800.1	True
NENA	XP_002458171.1	True
PT4	XP_002458253.1	True
STR2	XP_002458373.2	True
CCD8	XP_002458477.1	True
DnaJ	XP_002460134.1	False
SymRK	XP_002460874.1	True
SYN	XP_002461505.1	False
KinF	XP_002462461.2	True
pp2a	XP_002462760.1	True
RAM2	XP_002463916.1	True
MCA8	XP_002465447.1	True
VAPYRIN	XP_002466729.1	True
NSP2	XP_002468140.2	True
NFP	XP_002468236.2	True
NUP133	XP_002468240.1	True
CCaMK	XP_021305137.1	True
CASTOR	XP_021306440.1	True
RFCb	XP_021307872.1	True
CCD	XP_021310240.1	True
DMI1	XP_021310983.1	True
HYP3	XP_021312020.1	True
LIN	XP_021312730.1	False
SEC	XP_021312920.1	False
HYP4	XP_021313156.1	True
RFCa	XP_021314944.1	True
D27	XP_021316884.1	True
FatM	XP_021317511.1	False
KinG2	XP_021317577.1	True
GRAS	XP_021317640.1	False
ABCB12	XP_021318467.1	True
EXO70	XP_021319343.1	True
ABCB20	XP_021319869.1	True
EPP1	XP_021320815.1	True
CYTB561	XP_021320943.1	False
